46,http://p1.meituan.net/movie/2448d7207efd1d3fd05eb0137142c158104579.jpg@160w_220h_1e_1c,当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,桑迪·牛顿",上映时间：2008-01-17,8.9
index,image,title,actor,time,score
47,http://p0.meituan.net/movie/30/380718.jpg@160w_220h_1e_1c,速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",上映时间：2011-05-12,9.2
index,image,title,actor,time,score
48,http://p1.meituan.net/movie/8194ae885ed9419aadf35c196af86ba4239039.jpg@160w_220h_1e_1c,驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",上映时间：2010-05-14,9.0
index,image,title,actor,time,score
49,http://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@160w_220h_1e_1c,十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",上映时间：1957-04-13(美国),9.1
index,image,title,actor,time,score
50,http://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@160w_220h_1e_1c,勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",上映时间：1995-05-24(美国),8.8
index,image,title,actor,time,score
51,http://p0.meituan.net/movie/017ac8fd875ee488be7d3d21165ac98d20778.jpg@160w_220h_1e_1c,黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",上映时间：2003-11-05,8.8
index,image,title,actor,time,score
52,http://p0.meituan.net/movie/44/43.jpg@160w_220h_1e_1c,三傻大闹宝莱坞,"主演：阿米尔·汗,黄渤,卡琳娜·卡普",上映时间：2011-12-08,9.1
index,image,title,actor,time,score
53,http://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@160w_220h_1e_1c,断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2006-01-13(美国),9.0
index,image,title,actor,time,score
54,http://p1.meituan.net/movie/01db9c3365a825ccd612aa14a12a36f528278.jpg@160w_220h_1e_1c,神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",上映时间：2010-07-09(美国),9.0
index,image,title,actor,time,score
